Amazon Pro,Google Pro
"You're surrounded by smart people and the projects are interesting, if a little daunting.","* If you're a software engineer, you're among the kings of the hill at Google. It's an engineer-driven company without a doubt (that *is* changing, but it's still very engineer-focused)."
Brand name is great. Have yet to meet somebody who is unfamiliar with Amazon. Hours weren't as bad as I had previously heard. But i guess can be long for corporate finance,"1) Food, food, food. 15+ cafes on main campus (MTV) alone. Mini-kitchens, snacks, drinks, free breakfast/lunch/dinner, all day, errr'day."
Good money.Interaction with some great minds in the world during internal conferences and sessions.Of course the pride of being a part of earth's most customer centric experience,You can't find a more well-regarded company that actually deserves the hype it gets.
nice pay and overtime and different shifts,"- You drive yourself here. If You want to grow, You have to seek out opportunities and prove that your worth. This keeps You motivated."
Opportunity for those not afraid to work!,"Teamwork, always someone who can help, competitive, fun environment, free food, intelligent colleagues everywhere"
"Pay was good, benefits from day one, meet a lot of new people, a lot of fun contests, and great giveaways. They keep you hydrated with the endless water supply","Great culture, smart, motivated employees"
"Got to meet some decent people from jersey, when it's a little warmer out its nice ride from philly to jersey",The best company I have been to! Learnt a lot and I love the working environment.
The salary is good for the work involved. They offer stock however only after a year of employment at the company.,"Really intelligent people to work with, great infrastructure and tools, focus on excellence."
"Great company, great people. One of the biggest benefits is being able to reference Amazon as a recent workplace on your resume.","Incredibly smart coworkers, best tools I've ever used, silly offices, free food, one project can affect millions of people and dollars."
Not too intense. Lots of outdoor activities during. The people are nice. Everyone is assigned a mentor. The salary was good as well.,Seemingly unlimited resources; work with top/diverse talent from across the globe; amazing perks from food to testing of prototype consumer technologies.
"Decent pay, but there are far better opportunities in the area",Everyone is vibrant and high-energy. Truly a fun place to get your nerd on. Oh and we do work sometimes. The campus is huge and contains many perks such as a gym and cafeteria.
"Co-workers and management teams were generally upbeat, and it was easy to get help when you needed it most. This was a work at home position, and the hours were steady.",Smart people who are passionate about their job.
"good benefits, guaranteed 40hrs a week, paid time off , ect",There a huge diversity of work ranging from defending independent journalism worldwide (Google Project Shield).
you get a great pay and it helps you out with getting other cleaning jobs,"Super smart people, engineering culture."
Great pay. Great people. Great.,great teams and location and food
Great chances for promotions. The company is growing fast year after year. You can get a promotion every year. You work hard but play hard as well. They take good care of each other.,"Smart co-workers, challenging problems, great perks"
"Fun working environment, challenging, lots of people to interact with, lots of overtime bumps your pay way higher than the estimated (up to $25,000+ a year), typically get 3 day weekend unless it's the holiday season.",Amazing place to work - great people and great benefits
The people are great too work around and they try to fix all situations,Exciting to work in a company that powers billions of people's lives everyday.
"Very productive learning experience, and great company to start your career",+ Awesome projects
lots of over time.. make great money,"Very impactful work, great coworkers, good work-life balance, some interesting projects."
I have fantastic support and training. Help is only a chat away. Our team stays connected in a team chat. And individual conversations with leadership are easily accomplished. I feel appreciated and valued working here. Time off and schedule changes are easy to arrange as well. Skill building and training are ongoing there is usually opportunity for additional hours. There are a host of skill sets to be trained in an??Show More,"There benifits are good,and it will bring you a lot of good things for your family."
I had a fun time do business with and will continue to do so in the future I would recommend it to anyone,"Google is the best company to work for. The perks are amazing, every detail is considered! The work is interesting and colleagues smart and fun to work with."
"If you are not willing to work hard, then this is not for you","Google deserves every bit of its ""Best Company to Work For"" reputation. My own experience was in getting to build a business from scratch inside the company and watching it flourish."
Everything is great. This is a great company to work for with great people. You'll love it here! Go now!,"Good infrastructure, good people to work with, nice perks."
"Great hours, able to work from home, awesome benefits for anyone that sells a lot of items through them.","Amazing benefits, good pay, extremely intelligent people, engaging work that impacts a lot of people. Managers are competent, and promotion is meritocratic."
None It was the harshest place I have ever worked where the employee had no value,Great perks. Flexible schedule. Meet great people.
You get promoted by chatting with people and doing nothing important.,"There are so many great benefits at Google. Food, exercise classes, and the work spaces are just great. Great sense of freedom and that you are in control of what you're working on"
"Great company , lots of benifits, would not change working here for anything, they are doing alot of hiring. Many locations throughout the country. Constantly hiring","Tons of perks, good pay. If you have the chance, it's worth working there and experiencing it!"
"great work environment ,some times","Friendly and competitive environment,unlimited food and perks.I have worked for google more than 3 years and always felt this place like my second home."
Amazon has great benefits and the pay was okay especially since we were guaranteed overtime. Management was relaxed and they didnt micromanage. You just had to make sure you were performing.,- Extremely smart and nice people
Working at Amazon is great during peak season. It was a great experience because of the diversity there was.,Great smart people. All the usual perks
"Nice benefits, good hours, good pay","Great place as long as your team is good. If your team is not that good, you always have the option to switch."
Benefits are outstanding. Co workers excluding management are outstanding.,I learn a lot. Google pays for my Masters degree at Stanford.
"Ignore the news article from recent NY Times on Amazon's terrible work culture. I have been working here since 2012 and yes the first few months was hard in terms of understanding how. what and when to get things done. But once i figured out pace, what really matters and dove in I loved going to work everyday and do what I do.","Huge Impact, lots of interesting people you work with, people get excited every time you mention you work there. Overall though I really enjoyed working there and would recommend."
Good pay and Great hours,You will learn more here than anywhere else you've worked.
Good work and life balance,Great coworkers and a ton of opportunities.
big company lots of options / teams,"Very friendly people and very interesting work. The working environment is very nice and we only need to worry about work we are responsible for, and anything else is well taken care of by other assistants and applications."
Great experience working this job,- Access to a vast wealth of technical resources and people
Benefits And Insurance Advancement Growth,"Huge resources available, world-class brilliant people to work with. Great place to learn how to scale real-world systems."
*You get to have Amazon on your resume,"It's a good company, good place to work and good place to learn."
High visibility/impact.,"Good opportunities, mobility, good reward"
Great place to work with many great benefits.,"Everything you've ever heard about working at Google is true. Benefits are awesome, coworkers are awesome, and your work affects millions of people."
Good pay. Well organized company. Great benefits. I worked at a warehouse in the inbound side. They showed me how to operate a forklift and gained a lot of experience on how a warehouse works. 3 days off.,"Great perks, amazing technology, inspiring activities"
They take very good care of their employees and I do miss working there. Always a good schedule and two thumbs up,The company offers generous perks. The locations of headquarters and other offices are great.
"Good hours, decent pay, work from home, Great managers",great environment and place to work
Compensation and benefits package is great,"Food, Google Bus, Great culture, upward mobility, independent office hours"
#NAME?,Work with top notch people and learn how to build product for millions of users.
"Great part time, flexible schedule. More hours can be added as needed. Great holiday perks and food periodically.","Google is still full of bright motivated people, working on world-class products. The company is led by solid people, who truly care about continuing to make the world a better place."
"networking, resume, promo items, paid trip to seattle","Awesome benefits and ability to work remotely or from other offices, free food is a major plus as well"
If you search you will find opportunities to grow and learn new things.,great work environment
"The company offers fair wages and amazing great for all types of employees, and provides daily incentives to maximize productivity. It's a great first job, or an opportunity to explore an area in the field of logistics.",hard to get in
"Awesome co-workers, awesome environment to work",Google is as advertised - it's an amazing place to work full of incredibly smart people working on interesting and challenging problems. The pay and perks are great. In theory there is a lot of opportunity for mobility and Google does seem committed to developing people over the course of their careers.
"Consistent hours as a direct hire. 18 hours with pay guarantee. 30 days until dental and vision. 90 days until medical, which is far better than most part-time positions out there. Free beverages in the break-room, reduced costs of snacks in the vending machines. Plenty of work when the shipments are accounted for correctly. Advancement is swift if you are open to doing anything asked of you without an attitude.",Google was a great company to work.
GREAT benefits with stock and health insurance. Pay is not outstanding but stock makes up for it.,Great Learning Opportunities
Leadership team has excellent grip on employee,Its a fun place to work
Very good quality products and usually arrives on time and when it doesn't they refund your money no questions asked,"Flexible hours, awesome benefits, amazing coworkers!"
There is always room to grow cause the company is expanding,Work with the smartest people. Fast paced. Challenging.
