X,favorited,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,retweeted,longitude,latitude,text
1,FALSE,<NA>,8/8/2013 11:48,FALSE,NA,3.65E+17,NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry?</a>",KarenMMcCormack,2,FALSE,NA,NA,"RT @oceanclub: @eilisohanlon @stonyjim @vonprond Eilis, I'm from Pearse St and even I can tell a Chardonnay from so?"
2,FALSE,roystbaggage,8/8/2013 11:47,FALSE,3.65E+17,3.65E+17,438433827,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",a_m_y_xo,0,FALSE,NA,NA,?@roystbaggage: 'Go to your Auntie Chardonnay and she will help you piss up against that wall' - the scum of Dover.?what's this even mean ha
3,FALSE,<NA>,8/8/2013 11:45,FALSE,NA,3.65E+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",MSiddiqi,0,FALSE,NA,NA,Big thank you to Ian at Fowles wine for making me a Chardonnay drinker. @LadiesWhoShoot #wrongwayround http://t.co/KiA2StsOEO
4,FALSE,<NA>,8/8/2013 11:44,FALSE,NA,3.65E+17,NA,web,eilisohanlon,2,FALSE,NA,NA,"RT @oceanclub: @eilisohanlon @stonyjim @vonprond Eilis, I'm from Pearse St and even I can tell a Chardonnay from so?"
5,FALSE,<NA>,8/8/2013 11:42,FALSE,NA,3.65E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",auchenhouse,0,FALSE,NA,NA,"After to worst rain at night known, floating flip flops, we have woke to the hottest sun!! #pool #sunshine #Chardonnay #happyhols"
6,FALSE,eilisohanlon,8/8/2013 11:38,FALSE,3.65E+17,3.65E+17,135630141,web,oceanclub,2,FALSE,NA,NA,"@eilisohanlon @stonyjim @vonprond Eilis, I'm from Pearse St and even I can tell a Chardonnay from something else."
7,FALSE,<NA>,8/8/2013 11:38,FALSE,NA,3.65E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",roystbaggage,0,FALSE,NA,NA,'Go to your Auntie Chardonnay and she will help you piss up against that wall' - the scum of Dover.
8,FALSE,<NA>,8/8/2013 11:36,FALSE,NA,3.65E+17,NA,"<a href=""http://roundteam.co"" rel=""nofollow"">RoundTeam</a>",bestwineries,2,FALSE,NA,NA,RT @vcveats: 446 Chardonnay http://t.co/ucSyVGev93 #winetourism
9,FALSE,<NA>,8/8/2013 11:35,FALSE,NA,3.65E+17,NA,"<a href=""http://www.majestic.co.uk"" rel=""nofollow"">Majestic Wine</a>",majestictun,0,FALSE,NA,NA,#catenaalta #chardonnay still open on our tasting counter - #comeandexplore and tell us what you think!
10,FALSE,<NA>,8/8/2013 11:32,FALSE,NA,3.65E+17,NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry?</a>",Kinbusorlah,0,FALSE,NA,NA,"Pls do@kc_chardonnay: Hehehe, kumn ova!@Kinbusorlah: See the way muslims are bringing food to our house :D"
11,FALSE,<NA>,8/8/2013 11:32,FALSE,NA,3.65E+17,NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry?</a>",kc_chardonnay,0,FALSE,NA,NA,"Hehehe, kumn ova!@Kinbusorlah: See the way muslims are bringing food to our house :D"
12,FALSE,<NA>,8/8/2013 11:31,FALSE,NA,3.65E+17,NA,"<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for BlackBerry</a>",KingMartinIV,0,FALSE,NA,NA,RT @Boity: Chardonnay &amp; Rainbow Cake with my @mantsoepout http://t.co/a3Bbd8w1fO
13,FALSE,<NA>,8/8/2013 11:30,FALSE,NA,3.65E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Alan_and_Gabana,0,FALSE,NA,NA,Tomorrow I'm going to have a nice glass of Chardonnay and wind down with a good book in the corner of the county:-)
14,FALSE,<NA>,8/8/2013 11:30,FALSE,NA,3.65E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",StealthStowe,0,FALSE,NA,NA,This was all inspired by a little Marvin Gaye and Chardonnay...
15,FALSE,<NA>,8/8/2013 11:29,FALSE,NA,3.65E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jenn_oneil,0,FALSE,NA,NA,Just decided on @EastDellEstates Black Cab and @calamuswinery Barrel Kissed Chardonnay as wedding wines!
16,FALSE,LilLakers,8/8/2013 11:28,FALSE,3.65E+17,3.65E+17,259320825,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Kirannx,0,FALSE,NA,NA,@LilLakers JUST TO SET THE MOOD GIRL I BROUGHT SOME MARVIN GAYE AND CHARDONNAY SO JUST LET THE SONG PLAAAY
17,FALSE,<NA>,8/8/2013 11:28,FALSE,NA,3.65E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",argxox,1,FALSE,NA,NA,RT @_barneywynne_: Just to set the mood girl i brought some marvin gaye and chardonnay
