screenName,retweetCount,retweeted,longitude,latitude,text
thejennagibson,0,FALSE,NA,NA,@ayyytylerb that is so true drink lots of coffee
carolynicosia,1,FALSE,NA,NA,"RT @bryzy_brib: Senior March tmw morning at 7:25 A.M. in the SENIOR lot. Get up early, make yo coffee/breakfast, cus this will only happen ?"
janeCkay,0,FALSE,NA,NA,If you believe in #gunsense tomorrow would be a very good day to have your coffee any place BUT @Starbucks Guns+Coffee=#nosense @MomsDemand
AlexandriaOOTD,0,FALSE,NA,NA,My cute coffee mug. http://t.co/2udvMU6XIG
Rooosssaaaa,2,FALSE,NA,NA,RT @slaredo21: I wish we had Starbucks here... Cause coffee dates in the morning sound perff!
E_Z_MAC,0,FALSE,NA,NA,Does anyone ever get a cup of coffee before a cocktail??
Charlie_31191,0,FALSE,NA,NA,"I like my coffee like I like my women...black, bitter, and preferably fair trade. I love #Archer"
JessicaSalvato5,0,FALSE,NA,NA,@dreamwwediva ya didn't have coffee did ya?
kaytiekirk,1,FALSE,NA,NA,RT @iDougherty42: I just want some coffee.
lissteria,2,FALSE,NA,NA,RT @Dorkv76: I can't care before coffee.
DOPECROOK,0,FALSE,NA,NA,No lie I wouldn't mind coming home smelling like coffee
TiffCaruso,6,FALSE,NA,NA,RT @JonasWorldFeed: Play Ping Pong with Joe. Take a tour of the stage with Nick. Have coffee with Kevin. Charity auction: https://t.co/VTkK?
CurlysCrazyMofo,0,FALSE,NA,NA,Have I ever told any of you that Tate Donovan bought my stepmom coffee?
JoeJonasVA,6,FALSE,NA,NA,RT @JonasWorldFeed: Play Ping Pong with Joe. Take a tour of the stage with Nick. Have coffee with Kevin. Charity auction: https://t.co/VTkK?
AnnaDuleep,0,FALSE,NA,NA,@HeatherWhaley I was about 2 joke it takes 2 hands to hold hot coffee...then I read headline! #Don'tDrinkNShoot
mpr4437,42,FALSE,NA,NA,RT @MoveTheSticks: Charlie Whitehurst looks like he should be working at a coffee shop in Portland or hosting a renovation show on HGTV.
sharkshukri,0,FALSE,NA,NA,Coffee always makes everything better.
thepaulbaker,1,FALSE,NA,NA,RT @AdelaideReview: Food For Thought: @Annabelleats shares a delicious Venison and Porcini Mushroom Pie Recipe. http://t.co/N8O7vqFKWN http?
bryanlaca,1,FALSE,NA,NA,RT @LittleMelss: lmfao!!!@bryanlaca: nahhh Melanie u is fa sho like an ummm a Coffee table ;) ) yeeeee lmaoo
Shauncore,0,FALSE,NA,NA,I wonder if Christian Colon will get a cup of coffee once the rosters expand to 40 man in September. Really nothing to lose by doing so.
DylanBaur,0,FALSE,NA,NA,Shouldn't have drank coffee I'm jittery as fuck.
LadyMonyAna1,0,FALSE,NA,NA,#good_morning #chocolate #morning #coffee #floral #eid #nutella #waffles #crepe #jeddah #ksa #dubai #q8 http://t.co/Em61Iopri5
Gridlock_Coffee,0,FALSE,NA,NA,@kungfupussy You might need to do a bulk shipment to Melbourne! @JustBeer_NoBull @brandnewblues
_GCJCC,0,FALSE,NA,NA,Gold Coast JCC Friday News features profile on new coffee shop in Southport that's embracing the area's heritage: http://t.co/Na32boM2bO
Rileydreams,0,FALSE,NA,NA,Sometimes I start dancing on my coffee table because I can.
TweetJohnLane,9,FALSE,NA,NA,"RT @Leslieks: .@Starbucks I have a morning free tomorrow &amp; was going to have coffee w/friends, but not until you get some #Gunsense! #momsd?"
RedBone_Barbie5,0,FALSE,NA,NA,Starbucks Coffee is the best!!! #confessyourunpopularopinion
RLauren88,926,FALSE,NA,NA,RT @TheMindBlowing: Fat Burning Foods: Grapefruit. Watermelon. Berries. Hot Peppers. Celery. Greek Yogurt. Eggs. Fish. Green Tea. Coffee. ?
MattyTheBolts,0,FALSE,NA,NA,Witnessed a girl with a pet bird pooping on her shoulder &amp; a girl sharing ice cream with her dog at the same coffee shop. Both didn't care.
AmaniiAbdulla,0,FALSE,NA,NA,My biological watch thinks its 5:43 PM. I want Arabic coffee and cake.
AliPlayzGuitar,0,FALSE,NA,NA,"I wanna lay on the couch, under some blankets, with some hot coffee, and watch old movies."
ashplante14,1,FALSE,NA,NA,RT @dreyess1: Do they have rehab for coffee addicts?
kscottz,0,FALSE,NA,NA,"Finally! Home. There is no food or beer in the fridge. Also there is no coffee, tomorrow will be rough. Ordered pizza. Rat time!!!"
destinyspooner,0,FALSE,NA,NA,just drank an entire venti coffee from Starbucks &amp; still think I'm gonna fall asleep #wtf
